season,episode_number,title,airdate,rating,total_votes,description
1,4,In the Blood,2015-04-10,8.6,10379,Two vicious Russian brothers working for Fisk strike back against Daredevil. Fisk moves to further consolidate his power in the criminal underworld.
1,5,World on Fire,2015-04-10,8.7,9990,Fisk moves forward with plans that threaten to rip Hell's Kitchen apart. Murdock and Foggy take on a case helping tenants victimised by a slumlord.
1,6,Condemned,2015-04-10,8.9,10162,Daredevil finds himself trapped in the fallout of Fisk's plan to take control of Hell's Kitchen. Ben Urich digs closer to the truth.
1,7,Stick,2015-04-10,8.6,9894,An important figure from Murdock's past reemerges seeking his help to battle a new enemy threatening Hell's Kitchen.
1,8,Shadows in the Glass,2015-04-10,8.9,9883,"While Murdock, Foggy and Karen's mission becomes clearer, Fisk's world spins further out of control in his battle for Hell's Kitchen."
1,9,Speak of the Devil,2015-04-10,9.1,10187,"When Fisk gains the upper hand, the goal to destroy him becomes even more difficult, while Daredevil faces his own demons."
1,10,Nelson v. Murdock,2015-04-10,8.5,9481,"After Foggy and Murdock's relationship has taken a turn for the worst, a new enemy of Fisk has surfaced."
1,11,The Path of the Righteous,2015-04-10,8.7,9366,"Fisk and Murdock wrestle with the consequences of their chosen paths, while Ben and Karen get closer to Fisk's true past."
1,12,The Ones We Leave Behind,2015-04-10,8.6,9181,Fisk seeks revenge while Karen is haunted by recent events. Daredevil makes a startling discovery about Fisk's financing.
1,13,Daredevil,2015-04-10,9.3,12100,"In the season finale, a boxed-in Fisk and a desperate Murdock, Foggy, and Karen are forced to play their end games."
2,1,Bang,2016-03-18,8.8,9807,"In the void left by Fisk's removal, a new threat to Hell's Kitchen emerges. Murdock and Foggy take on a client with a questionable past."
2,2,Dogs to a Gunfight,2016-03-18,8.6,8672,"As Murdock recovers from an attack, Foggy and Karen fight to protect their new client from both the law and the Kitchen's newest vigilante."
2,3,New York's Finest,2016-03-18,9.4,11261,"Trapped face-to-face with the Punisher, Daredevil wrestles with the morality of vigilante justice. Meanwhile, Foggy and Karen work to save the firm."
2,4,Penny and Dime,2016-03-18,9.4,10743,"Karen uncovers shocking facts about the Punisher, who finds himself hunted by a powerful force in Hell's Kitchen. Daredevil ponders his next moves."
2,5,Kinbaku,2016-03-18,8.2,8004,A former lover arrives in Hell's Kitchen and turns Murdock's world upside down. Karen digs for the truth about the Punisher.
2,6,Regrets Only,2016-03-18,8.5,7620,"A lethal foe returns with a vengeance, Foggy and Murdock risk the firm to ensure justice, and Karen sees a different side of the Punisher."
2,7,Semper Fidelis,2016-03-18,8.5,7502,"Murdock and Foggy take on the DA in the trial of the century, but their client refuses to play along. Murdock struggles to balance his dual identities."
2,8,Guilty as Sin,2016-03-18,9.0,7984,"As the firm's trial spins out of control, a figure from Murdock's past returns to deliver shocking revelations about the future of Hell's Kitchen."
2,9,Seven Minutes in Heaven,2016-03-18,9.4,9506,"Castle gets an offer he can't refuse. Foggy and Murdock question the future of their firm, but Karen won't give up so easily."
2,10,The Man in the Box,2016-03-18,9.0,7741,Murdock and Foggy get caught in the crossfire of the Punisher's revenge. Karen and Murdock dig for the truth in very different ways.
2,11,.380,2016-03-18,8.7,7339,Karen starts working with Frank to bring the mysterious Blacksmith down. Claire quits her job as the hospital's administration are trying to keep her silent. Matt visits Madame Gao to get information on Blacksmith.
2,12,The Dark at the End of the Tunnel,2016-03-18,8.9,7581,Daredevil goes underground to save an old friend. Karen follows a dangerous lead. The law firm of Nelson and Murdock may have reached its final chapter.
2,13,A Cold Day in Hell's Kitchen,2016-03-18,9.1,9262,"In the season finale, Daredevil is backed into the ultimate showdown for his own life - and the future of Hell's Kitchen."
3,1,Resurrection,2018-10-19,8.2,6944,"Shattered physically and spiritually, Matt rethinks his purpose and place in Hell's Kitchen. Meanwhile, Fisk puts a plan in motion from behind bars."
3,2,Please,2018-10-19,8.5,6345,"Grieving for the life he's abandoned, Matt suffers a crisis of faith. Fisk makes a deal with the FBI that turns him into a target."
3,3,No Good Deed,2018-10-19,8.4,6180,"As Fisk moves into swanky new digs amid a public outcry, Matt wrestles with how far he's ready to go to right this wrong. Dex's aim comes into focus."
3,4,Blindsided,2018-10-19,9.5,9758,"While Matt infiltrates a prison to find information on the Albanians, Fisk puts Dex in his crosshairs and a fed-up Foggy goes on the offensive."
3,5,The Perfect Game,2018-10-19,8.8,6342,"To quell the rising backlash over his release, Fisk serves up a scapegoat to the FBI. Dex misses the mark when he runs into a woman from his past."
3,6,The Devil You Know,2018-10-19,9.5,8144,"Driven to the edge, Dex loses his way until he's offered a lifeline by Fisk. Matt comes to Karen for help, which she agrees to give -- on one condition."
3,7,Aftermath,2018-10-19,8.7,5939,"The press crucifies Daredevil after the attack on the Bulletin, and Agent Nadeem suspects the FBI paid too high a price for Fisk's cooperation."
3,8,Upstairs/Downstairs,2018-10-19,9.0,6243,"A desperate Dex reaches out for help, Matt forms an uneasy alliance with Agent Nadeem, and Karen concocts a dangerous plan to provoke Fisk."
3,9,Revelations,2018-10-19,9.1,6248,Matt's already shaky world tilts when he learns a shocking truth. Karen runs for her life. Nadeem discovers how deep Fisk's influence runs.
3,10,Karen,2018-10-19,8.6,6717,"Hunted by Fisk and haunted by mistakes from her past, Karen seeks refuge at the church. Matt finally gets his shot, and Dex goes in for the kill."
3,11,Reunion,2018-10-19,9.1,6129,"Dex tries to run his prey to ground, Nadeem's conscience kicks in, and Fisk looks to recover a gift from Vanessa seized during his incarceration."
3,12,One Last Shot,2018-10-19,9.3,6421,Fisk's long-awaited reunion doesn't go as planned. Nelson & Murdock take on a new client who holds key information on Kingpin.
3,13,A New Napkin,2018-10-19,9.5,9335,"Matt prepares to cross the line, as Dex becomes more dangerous than ever and Fisk enacts his endgame."
